,MFI,artist,album,song,original_path,original_file,16k_path,16k_file,sample_full
0,mujer,Ariana Grande,Brand New You (From 13),01. Brand New You (feat. Brynn Williams & Caitlin Gann),/audio/mujer/Ariana Grande/Brand New You (From 13),/audio/mujer/Ariana Grande/Brand New You (From 13)/01. Brand New You (feat. Brynn Williams & Caitlin Gann).flac,..\data\masterDS,..\data\masterDS\01. Brand New You (feat. Brynn Williams & Caitlin Gann)0.flac,full
19,mujer,Ariana Grande,Brand New You (From 13),02. A Little More Homework (feat. Graham Phillips) (Single Version),/audio/mujer/Ariana Grande/Brand New You (From 13),/audio/mujer/Ariana Grande/Brand New You (From 13)/02. A Little More Homework (feat. Graham Phillips) (Single Version).flac,..\data\masterDS,..\data\masterDS\02. A Little More Homework (feat. Graham Phillips) (Single Version)0.flac,full
50,mujer,Ariana Grande,Christmas & Chill,01. Intro,/audio/mujer/Ariana Grande/Christmas & Chill,/audio/mujer/Ariana Grande/Christmas & Chill/01. Intro.flac,..\data\masterDS,..\data\masterDS\01. Intro0.flac,full
57,mujer,Ariana Grande,Christmas & Chill,02. Wit It This Christmas,/audio/mujer/Ariana Grande/Christmas & Chill,/audio/mujer/Ariana Grande/Christmas & Chill/02. Wit It This Christmas.flac,..\data\masterDS,..\data\masterDS\02. Wit It This Christmas0.flac,full
74,mujer,Ariana Grande,Christmas & Chill,03. December,/audio/mujer/Ariana Grande/Christmas & Chill,/audio/mujer/Ariana Grande/Christmas & Chill/03. December.flac,..\data\masterDS,..\data\masterDS\03. December0.flac,full
86,mujer,Ariana Grande,Christmas & Chill,04. Not Just On Christmas,/audio/mujer/Ariana Grande/Christmas & Chill,/audio/mujer/Ariana Grande/Christmas & Chill/04. Not Just On Christmas.flac,..\data\masterDS,..\data\masterDS\04. Not Just On Christmas0.flac,full
99,mujer,Ariana Grande,Christmas & Chill,05. True Love,/audio/mujer/Ariana Grande/Christmas & Chill,/audio/mujer/Ariana Grande/Christmas & Chill/05. True Love.flac,..\data\masterDS,..\data\masterDS\05. True Love0.flac,full
116,mujer,Ariana Grande,Christmas & Chill,06. Winter Things,/audio/mujer/Ariana Grande/Christmas & Chill,/audio/mujer/Ariana Grande/Christmas & Chill/06. Winter Things.flac,..\data\masterDS,..\data\masterDS\06. Winter Things0.flac,full
132,mujer,Ariana Grande,Christmas Kisses,01. Last Christmas,/audio/mujer/Ariana Grande/Christmas Kisses,/audio/mujer/Ariana Grande/Christmas Kisses/01. Last Christmas.flac,..\data\masterDS,..\data\masterDS\01. Last Christmas0.flac,full
153,mujer,Ariana Grande,Christmas Kisses,02. Love Is Everything,/audio/mujer/Ariana Grande/Christmas Kisses,/audio/mujer/Ariana Grande/Christmas Kisses/02. Love Is Everything.flac,..\data\masterDS,..\data\masterDS\02. Love Is Everything0.flac,full
175,mujer,Ariana Grande,Christmas Kisses,03. Snow In California,/audio/mujer/Ariana Grande/Christmas Kisses,/audio/mujer/Ariana Grande/Christmas Kisses/03. Snow In California.flac,..\data\masterDS,..\data\masterDS\03. Snow In California0.flac,full
196,mujer,Ariana Grande,Christmas Kisses,04. Santa Baby,/audio/mujer/Ariana Grande/Christmas Kisses,/audio/mujer/Ariana Grande/Christmas Kisses/04. Santa Baby.flac,..\data\masterDS,..\data\masterDS\04. Santa Baby0.flac,full
214,mujer,Ariana Grande,Dangerous Woman,01. Moonlight,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/01. Moonlight.flac,..\data\masterDS,..\data\masterDS\01. Moonlight0.flac,full
235,mujer,Ariana Grande,Dangerous Woman,02. Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/02. Dangerous Woman.flac,..\data\masterDS,..\data\masterDS\02. Dangerous Woman0.flac,full
259,mujer,Ariana Grande,Dangerous Woman,03. Be Alright,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/03. Be Alright.flac,..\data\masterDS,..\data\masterDS\03. Be Alright0.flac,full
277,mujer,Ariana Grande,Dangerous Woman,04. Into You,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/04. Into You.flac,..\data\masterDS,..\data\masterDS\04. Into You0.flac,full
