artist,MFI,album,song,original_path,original_file,16k_path,16k_file,sample_full
Ariana Grande,mujer,Dangerous Woman,13. Touch It,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/13. Touch It.flac,..\data\masterDS,..\data\masterDS\13. Touch It10.flac,sample
Ariana Grande,mujer,Dangerous Woman,09. Everyday,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/09. Everyday.flac,..\data\masterDS,..\data\masterDS\09. Everyday16.flac,sample
Ariana Grande,mujer,Sweetener,15. get well soon,/audio/mujer/Ariana Grande/Sweetener,/audio/mujer/Ariana Grande/Sweetener/15. get well soon.flac,..\data\masterDS,..\data\masterDS\15. get well soon6.flac,sample
Ariana Grande,mujer,Dangerous Woman,11. I Don't Care,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/11. I Don't Care.flac,..\data\masterDS,..\data\masterDS\11. I Don't Care8.flac,sample
Ariana Grande,mujer,Yours Truly,11. Popular Song,/audio/mujer/Ariana Grande/Yours Truly,/audio/mujer/Ariana Grande/Yours Truly/11. Popular Song.flac,..\data\masterDS,..\data\masterDS\11. Popular Song13.flac,sample
Ariana Grande,mujer,Christmas & Chill,03. December,/audio/mujer/Ariana Grande/Christmas & Chill,/audio/mujer/Ariana Grande/Christmas & Chill/03. December.flac,..\data\masterDS,..\data\masterDS\03. December7.flac,sample
Ariana Grande,mujer,My Everything,12. My Everything,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/12. My Everything.flac,..\data\masterDS,..\data\masterDS\12. My Everything6.flac,sample
Ariana Grande,mujer,k bye for now (swt live),21. only 1 (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/21. only 1 (live).flac,..\data\masterDS,..\data\masterDS\21. only 1 (live)15.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),08. Leave Me Lonely,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/08. Leave Me Lonely.flac,..\data\masterDS,..\data\masterDS\08. Leave Me Lonely11.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),16. Step On Up,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/16. Step On Up.flac,..\data\masterDS,..\data\masterDS\16. Step On Up7.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),05. Side To Side,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/05. Side To Side.flac,..\data\masterDS,..\data\masterDS\05. Side To Side3.flac,sample
Ariana Grande,mujer,k bye for now (swt live),14. fake smile (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/14. fake smile (live).flac,..\data\masterDS,..\data\masterDS\14. fake smile (live)4.flac,sample
Ariana Grande,mujer,Dangerous Woman,06. Let Me Love You,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/06. Let Me Love You.flac,..\data\masterDS,..\data\masterDS\06. Let Me Love You7.flac,sample
Ariana Grande,mujer,Positions,11. love language,/audio/mujer/Ariana Grande/Positions,/audio/mujer/Ariana Grande/Positions/11. love language.flac,..\data\masterDS,..\data\masterDS\11. love language2.flac,sample
Ariana Grande,mujer,My Everything (Deluxe),04. Why Try,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/04. Why Try.flac,..\data\masterDS,..\data\masterDS\04. Why Try7.flac,sample
Ariana Grande,mujer,k bye for now (swt live),30. break free (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/30. break free (live).flac,..\data\masterDS,..\data\masterDS\30. break free (live)3.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),15. Thinking Bout You,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/15. Thinking Bout You.flac,..\data\masterDS,..\data\masterDS\15. Thinking Bout You20.flac,sample
Ariana Grande,mujer,Sweetener,03. the light is coming,/audio/mujer/Ariana Grande/Sweetener,/audio/mujer/Ariana Grande/Sweetener/03. the light is coming.flac,..\data\masterDS,..\data\masterDS\03. the light is coming12.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),04. Into You,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/04. Into You.flac,..\data\masterDS,..\data\masterDS\04. Into You3.flac,sample
Ariana Grande,mujer,Problem,03. Problem,/audio/mujer/Ariana Grande/Problem,/audio/mujer/Ariana Grande/Problem/03. Problem.flac,..\data\masterDS,..\data\masterDS\03. Problem22.flac,sample
Ariana Grande,mujer,k bye for now (swt live),"32. thank u, next (live)",/audio/mujer/Ariana Grande/k bye for now (swt live),"/audio/mujer/Ariana Grande/k bye for now (swt live)/32. thank u, next (live).flac",..\data\masterDS,"..\data\masterDS\32. thank u, next (live)20.flac",sample
Ariana Grande,mujer,k bye for now (swt live),03. bad idea (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/03. bad idea (live).flac,..\data\masterDS,..\data\masterDS\03. bad idea (live)3.flac,sample
