fileTrak,MFI,artist,album,song,localPath,duracion
/audio/hombre/Imagine Dragons/Evolve/Believer (Kaskade Remix).flac,hombre,Imagine Dragons,Evolve,Believer (Kaskade Remix),/audio/hombre/Imagine Dragons/Evolve,190.89333333333335
/audio/hombre/Imagine Dragons/Evolve/Believer.flac,hombre,Imagine Dragons,Evolve,Believer,/audio/hombre/Imagine Dragons/Evolve,204.34666666666666
/audio/hombre/Imagine Dragons/Evolve/Dancing In The Dark.flac,hombre,Imagine Dragons,Evolve,Dancing In The Dark,/audio/hombre/Imagine Dragons/Evolve,235.42666666666668
/audio/hombre/Imagine Dragons/Evolve/I Don't Know Why.flac,hombre,Imagine Dragons,Evolve,I Don't Know Why,/audio/hombre/Imagine Dragons/Evolve,190.12
/audio/hombre/Imagine Dragons/Evolve/I'll Make It Up To You.flac,hombre,Imagine Dragons,Evolve,I'll Make It Up To You,/audio/hombre/Imagine Dragons/Evolve,262.6
/audio/hombre/Imagine Dragons/Evolve/Levitate.flac,hombre,Imagine Dragons,Evolve,Levitate,/audio/hombre/Imagine Dragons/Evolve,198.17333333333335
/audio/hombre/Imagine Dragons/Evolve/Mouth Of The River.flac,hombre,Imagine Dragons,Evolve,Mouth Of The River,/audio/hombre/Imagine Dragons/Evolve,221.56
/audio/hombre/Imagine Dragons/Evolve/Not Today.flac,hombre,Imagine Dragons,Evolve,Not Today,/audio/hombre/Imagine Dragons/Evolve,260.62666666666667
/audio/hombre/Imagine Dragons/Evolve/Rise Up.flac,hombre,Imagine Dragons,Evolve,Rise Up,/audio/hombre/Imagine Dragons/Evolve,231.72
/audio/hombre/Imagine Dragons/Evolve/Start Over.flac,hombre,Imagine Dragons,Evolve,Start Over,/audio/hombre/Imagine Dragons/Evolve,186.08
/audio/hombre/Imagine Dragons/Evolve/Thunder.flac,hombre,Imagine Dragons,Evolve,Thunder,/audio/hombre/Imagine Dragons/Evolve,187.14666666666668
/audio/hombre/Imagine Dragons/Evolve/Walking The Wire.flac,hombre,Imagine Dragons,Evolve,Walking The Wire,/audio/hombre/Imagine Dragons/Evolve,232.90666666666667
/audio/hombre/Imagine Dragons/Evolve/Whatever It Takes.flac,hombre,Imagine Dragons,Evolve,Whatever It Takes,/audio/hombre/Imagine Dragons/Evolve,201.24
/audio/hombre/Imagine Dragons/Evolve/Yesterday.flac,hombre,Imagine Dragons,Evolve,Yesterday,/audio/hombre/Imagine Dragons/Evolve,205.12
/audio/hombre/Imagine Dragons/Hitlist/01.-On Top Of The World.flac,hombre,Imagine Dragons,Hitlist,01.-On Top Of The World,/audio/hombre/Imagine Dragons/Hitlist,189.84
/audio/hombre/Imagine Dragons/Hitlist/02.-Machine.flac,hombre,Imagine Dragons,Hitlist,02.-Machine,/audio/hombre/Imagine Dragons/Hitlist,181.88
/audio/hombre/Imagine Dragons/Hitlist/03.-Whatever It Takes.flac,hombre,Imagine Dragons,Hitlist,03.-Whatever It Takes,/audio/hombre/Imagine Dragons/Hitlist,201.61333333333334
/audio/hombre/Imagine Dragons/Hitlist/04.-Battle Cry.flac,hombre,Imagine Dragons,Hitlist,04.-Battle Cry,/audio/hombre/Imagine Dragons/Hitlist,273.64
/audio/hombre/Imagine Dragons/Hitlist/05.-It's Time.flac,hombre,Imagine Dragons,Hitlist,05.-It's Time,/audio/hombre/Imagine Dragons/Hitlist,240.30666666666667
/audio/hombre/Imagine Dragons/Hitlist/06.-Next To Me.flac,hombre,Imagine Dragons,Hitlist,06.-Next To Me,/audio/hombre/Imagine Dragons/Hitlist,230.2888888888889
/audio/hombre/Imagine Dragons/Hitlist/07.-Not Today.flac,hombre,Imagine Dragons,Hitlist,07.-Not Today,/audio/hombre/Imagine Dragons/Hitlist,261.08
/audio/hombre/Imagine Dragons/Hitlist/08.-Radioactive.flac,hombre,Imagine Dragons,Hitlist,08.-Radioactive,/audio/hombre/Imagine Dragons/Hitlist,186.81333333333333
/audio/hombre/Imagine Dragons/Hitlist/09.-Warriors.flac,hombre,Imagine Dragons,Hitlist,09.-Warriors,/audio/hombre/Imagine Dragons/Hitlist,170.06666666666666
/audio/hombre/Imagine Dragons/Hitlist/10.-I Bet My Life.flac,hombre,Imagine Dragons,Hitlist,10.-I Bet My Life,/audio/hombre/Imagine Dragons/Hitlist,192.89333333333335
/audio/hombre/Imagine Dragons/Hitlist/11.-Gold.flac,hombre,Imagine Dragons,Hitlist,11.-Gold,/audio/hombre/Imagine Dragons/Hitlist,216.81333333333333
/audio/hombre/Imagine Dragons/Hitlist/12.-Shots.flac,hombre,Imagine Dragons,Hitlist,12.-Shots,/audio/hombre/Imagine Dragons/Hitlist,232.33333333333334
/audio/hombre/Imagine Dragons/Hitlist/13.-Natural.flac,hombre,Imagine Dragons,Hitlist,13.-Natural,/audio/hombre/Imagine Dragons/Hitlist,189.46666666666667
/audio/hombre/Imagine Dragons/Hitlist/14.-Monster.flac,hombre,Imagine Dragons,Hitlist,14.-Monster,/audio/hombre/Imagine Dragons/Hitlist,249.49333333333334
/audio/hombre/Imagine Dragons/Hitlist/15.-Zero.flac,hombre,Imagine Dragons,Hitlist,15.-Zero,/audio/hombre/Imagine Dragons/Hitlist,210.93333333333334
/audio/hombre/Imagine Dragons/Hitlist/16.-Walking The Wire.flac,hombre,Imagine Dragons,Hitlist,16.-Walking The Wire,/audio/hombre/Imagine Dragons/Hitlist,233.44238095238094
/audio/hombre/Imagine Dragons/Hitlist/17.-Demons.flac,hombre,Imagine Dragons,Hitlist,17.-Demons,/audio/hombre/Imagine Dragons/Hitlist,177.50666666666666
/audio/hombre/Imagine Dragons/Hitlist/18.-Believer.flac,hombre,Imagine Dragons,Hitlist,18.-Believer,/audio/hombre/Imagine Dragons/Hitlist,203.77333333333334
/audio/hombre/Imagine Dragons/Hitlist/20.-Bleeding Out.flac,hombre,Imagine Dragons,Hitlist,20.-Bleeding Out,/audio/hombre/Imagine Dragons/Hitlist,223.16
/audio/hombre/Imagine Dragons/Hitlist/21.-Bad Liar.flac,hombre,Imagine Dragons,Hitlist,21.-Bad Liar,/audio/hombre/Imagine Dragons/Hitlist,260.7733333333333
/audio/hombre/Imagine Dragons/Hitlist/22.-Dancing In The Dark.flac,hombre,Imagine Dragons,Hitlist,22.-Dancing In The Dark,/audio/hombre/Imagine Dragons/Hitlist,233.93333333333334
/audio/hombre/Imagine Dragons/Hitlist/Thunder.flac,hombre,Imagine Dragons,Hitlist,Thunder,/audio/hombre/Imagine Dragons/Hitlist,188.13333333333333
/audio/hombre/Imagine Dragons/LOOM/01. Wake Up.flac,hombre,Imagine Dragons,LOOM,01. Wake Up,/audio/hombre/Imagine Dragons/LOOM,166.69635416666668
/audio/hombre/Imagine Dragons/LOOM/02. Nice to Meet You.flac,hombre,Imagine Dragons,LOOM,02. Nice to Meet You,/audio/hombre/Imagine Dragons/LOOM,190.76027083333332
/audio/hombre/Imagine Dragons/LOOM/03. Eyes Closed.flac,hombre,Imagine Dragons,LOOM,03. Eyes Closed,/audio/hombre/Imagine Dragons/LOOM,200.01033333333334
/audio/hombre/Imagine Dragons/LOOM/04. Take Me to the Beach.flac,hombre,Imagine Dragons,LOOM,04. Take Me to the Beach,/audio/hombre/Imagine Dragons/LOOM,167.06652083333333
/audio/hombre/Imagine Dragons/LOOM/05. In Your Corner.flac,hombre,Imagine Dragons,LOOM,05. In Your Corner,/audio/hombre/Imagine Dragons/LOOM,239.89120833333334
/audio/hombre/Imagine Dragons/LOOM/06. Gods Don’t Pray.flac,hombre,Imagine Dragons,LOOM,06. Gods Don’t Pray,/audio/hombre/Imagine Dragons/LOOM,169.87989583333334
/audio/hombre/Imagine Dragons/LOOM/07. Don’t Forget Me.flac,hombre,Imagine Dragons,LOOM,07. Don’t Forget Me,/audio/hombre/Imagine Dragons/LOOM,178.46489583333334
/audio/hombre/Imagine Dragons/LOOM/08. Kid.flac,hombre,Imagine Dragons,LOOM,08. Kid,/audio/hombre/Imagine Dragons/LOOM,159.77360416666667
/audio/hombre/Imagine Dragons/LOOM/09. Fire in These Hills.flac,hombre,Imagine Dragons,LOOM,09. Fire in These Hills,/audio/hombre/Imagine Dragons/LOOM,219.2615
/audio/hombre/Imagine Dragons/LOOM/10. Eyes Closed.flac,hombre,Imagine Dragons,LOOM,10. Eyes Closed,/audio/hombre/Imagine Dragons/LOOM,200.01033333333334
/audio/hombre/Imagine Dragons/Mercury/08.-It's Ok.flac,hombre,Imagine Dragons,Mercury,08.-It's Ok,/audio/hombre/Imagine Dragons/Mercury,202.49773242630386
/audio/hombre/Imagine Dragons/Mercury/Cutthroat.flac,hombre,Imagine Dragons,Mercury,Cutthroat,/audio/hombre/Imagine Dragons/Mercury,169.7414058956916
/audio/hombre/Imagine Dragons/Mercury/Dull Knives.flac,hombre,Imagine Dragons,Mercury,Dull Knives,/audio/hombre/Imagine Dragons/Mercury,213.48154195011338
